name	parentSubtype	distanceUpperLimit	isSimpleCRF	classificationLevel	breakPoints
A	-	7.0%	False	SUBTYPE	-
A2	-	6.0%	False	SUBTYPE	-
B	-	7.0%	False	SUBTYPE	-
C	-	7.0%	False	SUBTYPE	-
D	-	7.0%	False	SUBTYPE	-
F	-	7.0%	False	SUBTYPE	-
F2	-	6.0%	False	SUBTYPE	-
G	-	7.0%	False	SUBTYPE	-
H	-	7.0%	False	SUBTYPE	-
HIV2	-	25.0%	False	SPECIES	-
J	-	6.0%	False	SUBTYPE	-
K	-	6.0%	False	SUBTYPE	-
Group N	-	15.0%	False	GROUP	-
Group O	-	15.0%	False	GROUP	-
Group P	-	15.0%	False	GROUP	-
CRF01_AE	A	5.0%	False	CRF	-
CRF02_AG	A + G	7.0%	False	CRF	-
CRF03_AB	A + B	2.0%	True	CRF	2253-2687:A; 2688-5094:B
CRF04_cpx	-	6.0%	False	CRF	-
CRF05_DF	-	6.0%	False	CRF	-
CRF06_cpx	-	6.0%	True	CRF	2253-3110:G; 3111-3900:K; 3901-4266:G; 4267-5040:A; 5040-5094:J
CRF07_BC	B + C	3.0%	True	CRF	3311-5094:C; 3011-3310:B; 2621-3010:C; 2253-2620:B
CRF08_BC	B + C	3.0%	True	CRF	2253-2852:C; 2853-3149:B; 3150-5094:C
CRF09_cpx	-	6.0%	False	CRF	-
CRF10_CD	C + D	5.0%	True	CRF	3616-4316:Unknown; 4815-5094:C; 4317-4814:D; 3187-3615:C; 2253-3186:D
CRF11_cpx	A + J	6.0%	True	CRF	2253-3089:J; 3090-3489:Unknown; 3490-4039:J; 4040-5094:A
CRF12_BF	B + F	4.0%	True	CRF	2473-2640:B; 2641-3025:F; 3689-5094:F; 3026-3688:B; 2253-2472:F
CRF13_cpx	G + J	5.0%	True	CRF	2253-2311:G; 2312-3115:J; 3116-5094:G
CRF14_BG	G	2.0%	True	CRF	2253-5094:G
CRF15_01B	CRF01_AE	2.0%	True	CRF	2253-5094:CRF01_AE
CRF16_A2D	A2	2.0%	True	CRF	3169-5094:A2; 2990-3168:D; 2253-2989:A2
CRF17_BF	B + F	2.0%	True	CRF	2253-2806:F; 2807-3710:B; 3710-5094:F
CRF18_cpx	-	4.0%	True	CRF	2253-2470:G; 2471-2630:Unknown; 2631-3040:F; 3041-3439:Unknown; 3440-3730:A; 3761-4130:H; 4131-4470:Unknown; 4471-5094:G
CRF19_cpx	D	4.0%	True	CRF	4240-4671:A; 4672-5094:G; 2253-4239:D
CRF20_BG	B + G	3.0%	True	CRF	4150-5094:G; 3294-4149:B; 3182-3293:G; 2976-3181:B; 2742-2975:G; 2552-2741:B; 2253-2551:G
CRF21_A2D	A2 + D	3.0%	True	CRF	2253-3565:D; 3566-5094:A2
CRF22_01A1	A	3.0%	True	CRF	2253-2666:CRF01_AE; 2666-5094:A
CRF23_BG	B + G	3.0%	True	CRF	4149-5094:B; 2975-4149:B; 2795-2974:G; 2552-2794:B; 2253-2552:G
CRF24_BG	B + G	3.0%	True	CRF	4150-5094:G; 3381-4149:B; 3294-3380:G; 2976-3293:B; 2843-2975:G; 2553-2843:B; 2253-2552:G
CRF25_cpx	G + Unknown	5.0%	True	CRF	2253-3127:G; 3128-3691:Unknown; 3692-4003:A; 4004-5094:Unknown
